2022-07-02 18:17:46 |INFO  |main |StartupInfoLogger.java:55 |com.atguigu.guli.service.cms.ServiceCmsApplication |Starting ServiceCmsApplication on Mias-MBP.lan with PID 62463 (/Users/mia/Desktop/project/java/guli_parent/service/service_cms/target/classes started by mia in /Users/mia/Desktop/project/java/guli_parent)
2022-07-02 18:17:46 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 18:24:44 |INFO  |main |StartupInfoLogger.java:55 |com.atguigu.guli.service.cms.ServiceCmsApplication |Starting ServiceCmsApplication on Mias-MBP.lan with PID 63201 (/Users/mia/Desktop/project/java/guli_parent/service/service_cms/target/classes started by mia in /Users/mia/Desktop/project/java/guli_parent)
2022-07-02 18:24:44 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 18:28:29 |INFO  |main |StartupInfoLogger.java:55 |com.atguigu.guli.service.cms.ServiceCmsApplication |Starting ServiceCmsApplication on Mias-MBP.lan with PID 63618 (/Users/mia/Desktop/project/java/guli_parent/service/service_cms/target/classes started by mia in /Users/mia/Desktop/project/java/guli_parent)
2022-07-02 18:28:29 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 18:28:44 |INFO  |main |StartupInfoLogger.java:55 |com.atguigu.guli.service.cms.ServiceCmsApplication |Starting ServiceCmsApplication on Mias-MBP.lan with PID 63651 (/Users/mia/Desktop/project/java/guli_parent/service/service_cms/target/classes started by mia in /Users/mia/Desktop/project/java/guli_parent)
2022-07-02 18:28:44 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 18:30:28 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
2022-07-02 18:30:28 |INFO  |main |ConfigServicePropertySourceLocator.java:273 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-07-02 18:30:28 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
2022-07-02 18:30:28 |INFO  |main |GenericScope.java:295 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=f20e10c7-13f6-3ade-bc97-c4c327ba1cf6
2022-07-02 18:30:28 |INFO  |main |StartupInfoLogger.java:61 |com.atguigu.guli.service.cms.ServiceCmsApplication |Started ServiceCmsApplication in 0.732 seconds (JVM running for 1.001)
2022-07-02 20:04:02 |INFO  |main |ConfigServicePropertySourceLocator.java:249 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Fetching config from server at : http://localhost:8888
2022-07-02 20:04:02 |INFO  |main |ConfigServicePropertySourceLocator.java:273 |org.springframework.cloud.config.client.ConfigServicePropertySourceLocator |Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-07-02 20:04:02 |INFO  |main |SpringApplication.java:655 |com.atguigu.guli.service.cms.ServiceCmsApplication |The following profiles are active: dev
